t,x,u_num,u_exact
0.030200,0.767677,0.6647847207,0.6647845740
0.030200,0.777778,0.6408746976,0.6408745562
0.030200,0.787879,0.6163193680,0.6163192320
0.030200,0.797980,0.5911434571,0.5911433266
0.030200,0.808081,0.5653723148,0.5653721900
0.030200,0.818182,0.5390318905,0.5390317715
0.030200,0.828283,0.5121487067,0.5121485937
0.030200,0.838384,0.4847498327,0.4847497257
0.030200,0.848485,0.4568628566,0.4568627558
0.030200,0.858586,0.4285158584,0.4285157638
0.030200,0.868687,0.3997373810,0.3997372928
0.030200,0.878788,0.3705564020,0.3705563202
0.030200,0.888889,0.3410023041,0.3410022288
0.030200,0.898990,0.3111048458,0.3111047771
0.030200,0.909091,0.2808941312,0.2808940692
0.030200,0.919192,0.2504005801,0.2504005248
0.030200,0.929293,0.2196548968,0.2196548483
0.030200,0.939394,0.1886880397,0.1886879980
0.030200,0.949495,0.1575311897,0.1575311549
0.030200,0.959596,0.1262157191,0.1262156913
0.030200,0.969697,0.0947731601,0.0947731391
0.030200,0.979798,0.0632351724,0.0632351585
0.030200,0.989899,0.0316335123,0.0316335054
0.030200,1.000000,0.0000000000,0.0000000000
0.040200,0.000000,0.0000000000,0.0000000000
0.040200,0.010101,0.0316023090,0.0316022997
0.040200,0.020202,0.0631727972,0.0631727787
0.040200,0.030303,0.0946796758,0.0946796479
0.040200,0.040404,0.1260912199,0.1260911828
0.040200,0.050505,0.1573758008,0.1573757546
0.040200,0.060606,0.1885019177,0.1885018623
0.040200,0.070707,0.2194382291,0.2194381646
0.040200,0.080808,0.2501535848,0.2501535113
0.040200,0.090909,0.2806170571,0.2806169747
0.040200,0.101010,0.3107979718,0.3107978805
0.040200,0.111111,0.3406659392,0.3406658391
0.040200,0.121212,0.3701908850,0.3701907762
0.040200,0.131313,0.3993430799,0.3993429625
0.040200,0.141414,0.4280931701,0.4280930444
0.040200,0.151515,0.4564122069,0.4564120728
0.040200,0.161616,0.4842716752,0.4842715329
0.040200,0.171717,0.5116435230,0.5116433727
0.040200,0.181818,0.5385001891,0.5385000309
0.040200,0.191919,0.5648146312,0.5648144653
0.040200,0.202020,0.5905603529,0.5905601794
0.040200,0.212121,0.6157114303,0.6157112494
0.040200,0.222222,0.6402425385,0.6402423504
0.040200,0.232323,0.6641289767,0.6641287816
0.040200,0.242424,0.6873466934,0.6873464915
0.040200,0.252525,0.7098723102,0.7098721016
0.040200,0.262626,0.7316831458,0.7316829308
0.040200,0.272727,0.7527572384,0.7527570173
0.040200,0.282828,0.7730733683,0.7730731412
0.040200,0.292929,0.7926110789,0.7926108460
0.040200,0.303030,0.8113506973,0.8113504589
0.040200,0.313131,0.8292733543,0.8292731107
0.040200,0.323232,0.8463610034,0.8463607547
0.040200,0.333333,0.8625964386,0.8625961852
0.040200,0.343434,0.8779633124,0.8779630545
0.040200,0.353535,0.8924461515,0.8924458894
0.040200,0.363636,0.9060303731,0.9060301069
0.040200,0.373737,0.9187022988,0.9187020289
0.040200,0.383838,0.9304491692,0.9304488958
0.040200,0.393939,0.9412591561,0.9412588796
0.040200,0.404040,0.9511213749,0.9511210954
0.040200,0.414141,0.9600258950,0.9600256130
0.040200,0.424242,0.9679637505,0.9679634661
0.040200,0.434343,0.9749269485,0.9749266621
0.040200,0.444444,0.9809084777,0.9809081895
0.040200,0.454545,0.9859023152,0.9859020256
0.040200,0.464646,0.9899034327,0.9899031419
0.040200,0.474747,0.9929078013,0.9929075096
0.040200,0.484848,0.9949123960,0.9949121037
0.040200,0.494949,0.9959151982,0.9959149056
0.040200,0.505051,0.9959151982,0.9959149056
0.040200,0.515152,0.9949123960,0.9949121037
0.040200,0.525253,0.9929078013,0.9929075096
0.040200,0.535354,0.9899034327,0.9899031419
0.040200,0.545455,0.9859023152,0.9859020256
0.040200,0.555556,0.9809084777,0.9809081895
0.040200,0.565657,0.9749269485,0.9749266621
0.040200,0.575758,0.9679637505,0.9679634661
0.040200,0.585859,0.9600258950,0.9600256130
0.040200,0.595960,0.9511213749,0.9511210954
0.040200,0.606061,0.9412591561,0.9412588796
0.040200,0.616162,0.9304491692,0.9304488958
0.040200,0.626263,0.9187022988,0.9187020289
0.040200,0.636364,0.9060303731,0.9060301069
0.040200,0.646465,0.8924461515,0.8924458894
0.040200,0.656566,0.8779633124,0.8779630545
0.040200,0.666667,0.8625964386,0.8625961852
0.040200,0.676768,0.8463610034,0.8463607547
0.040200,0.686869,0.8292733543,0.8292731107
0.040200,0.696970,0.8113506973,0.8113504589
0.040200,0.707071,0.7926110789,0.7926108460
0.040200,0.717172,0.7730733683,0.7730731412
0.040200,0.727273,0.7527572384,0.7527570173
0.040200,0.737374,0.7316831458,0.7316829308
0.040200,0.747475,0.7098723102,0.7098721016
0.040200,0.757576,0.6873466934,0.6873464915
0.040200,0.767677,0.6641289767,0.6641287816
0.040200,0.777778,0.6402425385,0.6402423504
0.040200,0.787879,0.6157114303,0.6157112494
0.040200,0.797980,0.5905603529,0.5905601794
